n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
1000, 1000000, 10000, FCFS, 0.019, 35.687, 35.713, 10026.117, 10026.121, 10029.217, 
1000, 1000000, 100000, RR, 0.037, 27.255, 1309.289, 3401.491, 77.207, 96.804, 
1000, 1000000, 100000, FCFS, 0.029, 9.302, 9.304, 10568.673, 10568.695, 10582.569, 
1000, 1000000, 1000000, RR, 0.079, 36.139, 1535.576, 3444.674, 225.913, 365.175, 
1000, 1000000, 1000000, FCFS, 0.022, 35.012, 35.033, 10948.715, 10948.721, 11097.588, 
10000, 10, 10, RR, 0.019, 35.590, 35.635, 41.785, 41.815, 47.781, 
10000, 10, 10, FCFS, 0.059, 29.513, 29.519, 29.987, 29.989, 33.430, 
10000, 10, 100, RR, 0.023, 37.612, 37.616, 45.568, 45.587, 51.428, 
10000, 10, 100, FCFS, 0.053, 12.503, 12.510, 33.699, 33.720, 37.339, 
10000, 10, 1000, RR, 0.013, 25.025, 25.049, 30.546, 30.572, 38.275, 
10000, 10, 1000, FCFS, 0.052, 12.797, 12.819, 22.803, 22.824, 24.203, 
10000, 10, 10000, RR, 0.057, 48.309, 48.312, 58.930, 58.963, 67.364, 
10000, 10, 10000, FCFS, 0.031, 37.762, 37.768, 38.219, 38.221, 39.563, 
10000, 10, 100000, RR, 0.044, 48.599, 48.608, 59.523, 60.691, 81.868, 
10000, 10, 100000, FCFS, 0.050, 10.494, 10.519, 15.783, 15.791, 45.607, 
10000, 10, 1000000, RR, 0.047, 37.385, 37.414, 44.140, 74.688, 215.829, 
10000, 10, 1000000, FCFS, 0.161, 22.160, 22.167, 29.441, 29.447, 172.984, 
10000, 100, 10, RR, 29.966, 48.234, 18.456, 42.936, 42.946, 48.191, 
10000, 100, 10, FCFS, 0.033, 25.888, 25.892, 30.236, 30.241, 30.444, 
10000, 100, 100, RR, 0.040, 40.024, 40.048, 45.962, 45.990, 56.181, 
10000, 100, 100, FCFS, 0.048, 17.510, 17.531, 31.736, 31.757, 34.154, 
10000, 100, 1000, RR, 0.015, 31.630, 31.638, 46.876, 46.935, 52.453, 
10000, 100, 1000, FCFS, 0.033, 30.070, 30.073, 32.349, 32.351, 36.125, 
10000, 100, 10000, RR, 0.024, 18.346, 19.373, 35.998, 36.006, 41.302, 
10000, 100, 10000, FCFS, 0.028, 26.402, 26.410, 36.955, 36.961, 59.038, 
10000, 100, 100000, RR, 0.023, 36.225, 36.255, 49.590, 50.180, 75.469, 
10000, 100, 100000, FCFS, 0.021, 33.201, 33.205, 34.025, 34.028, 53.136, 
10000, 100, 1000000, RR, 0.043, 43.992, 44.002, 52.156, 99.631, 228.133, 
10000, 100, 1000000, FCFS, 0.021, 29.838, 29.845, 31.961, 31.964, 165.682, 
10000, 1000, 10, RR, 0.015, 35.478, 41.512, 48.814, 43.118, 48.763, 
10000, 1000, 10, FCFS, 0.025, 16.131, 16.134, 60.588, 60.594, 60.923, 
10000, 1000, 100, RR, 0.016, 35.851, 35.869, 41.547, 41.554, 50.147, 
10000, 1000, 100, FCFS, 0.105, 15.217, 15.223, 33.111, 33.123, 39.636, 
10000, 1000, 1000, RR, 0.054, 21.234, 21.261, 32.711, 32.720, 50.012, 
10000, 1000, 1000, FCFS, 0.051, 35.430, 35.441, 52.527, 52.534, 59.386, 
10000, 1000, 10000, RR, 0.039, 38.660, 38.664, 44.108, 44.116, 55.599, 
10000, 1000, 10000, FCFS, 0.048, 13.528, 13.550, 32.410, 32.414, 33.994, 
10000, 1000, 100000, RR, 0.041, 24.211, 24.234, 41.289, 49.754, 67.031, 
10000, 1000, 100000, FCFS, 0.025, 25.962, 25.965, 47.048, 47.058, 58.761, 
10000, 1000, 1000000, RR, 0.042, 30.337, 30.346, 42.500, 109.915, 225.977, 
10000, 1000, 1000000, FCFS, 0.025, 23.176, 23.180, 50.338, 50.341, 186.447, 
10000, 10000, 10, RR, 0.069, 21.049, 45.178, 84.274, 28.010, 40.370, 
10000, 10000, 10, FCFS, 0.019, 31.739, 31.761, 139.730, 139.751, 145.825, 
10000, 10000, 100, RR, 0.028, 35.505, 52.708, 75.370, 49.614, 63.798, 
10000, 10000, 100, FCFS, 0.022, 43.279, 43.292, 203.640, 203.643, 203.920, 
10000, 10000, 1000, RR, 0.051, 29.573, 56.328, 91.622, 40.128, 54.571, 
10000, 10000, 1000, FCFS, 0.026, 12.958, 28.227, 114.071, 114.093, 114.581, 
10000, 10000, 10000, RR, 2.865, 39.721, 59.797, 82.411, 46.667, 65.029, 
10000, 10000, 10000, FCFS, 0.019, 40.170, 40.178, 92.996, 93.002, 96.061, 
10000, 10000, 100000, RR, 0.058, 17.202, 50.488, 88.407, 77.659, 96.358, 
10000, 10000, 100000, FCFS, 0.034, 21.088, 21.101, 166.016, 166.020, 184.830, 
10000, 10000, 1000000, RR, 0.068, 28.873, 64.368, 101.772, 118.821, 252.649, 
10000, 10000, 1000000, FCFS, 0.024, 33.279, 33.282, 217.193, 217.215, 365.543, 
10000, 100000, 10, RR, 0.016, 22.473, 141.694, 379.344, 38.030, 43.450, 
10000, 100000, 10, FCFS, 0.026, 25.449, 25.452, 865.399, 865.402, 869.770, 
10000, 100000, 100, RR, 0.069, 55.834, 146.471, 425.202, 62.871, 68.260, 
10000, 100000, 100, FCFS, 0.025, 32.560, 32.586, 920.909, 920.913, 921.315, 
10000, 100000, 1000, RR, 0.016, 57.623, 174.825, 409.924, 62.886, 74.872, 
10000, 100000, 1000, FCFS, 0.023, 20.900, 20.904, 1120.864, 1120.868, 1121.243, 
10000, 100000, 10000, RR, 0.021, 37.250, 177.253, 366.294, 50.694, 56.520, 
10000, 100000, 10000, FCFS, 0.022, 35.263, 35.269, 1188.458, 1188.463, 1192.716, 
10000, 100000, 100000, RR, 0.029, 23.955, 136.329, 352.631, 73.184, 90.964, 
10000, 100000, 100000, FCFS, 0.034, 0.175, 0.177, 985.874, 985.877, 999.259, 
10000, 100000, 1000000, RR, 0.017, 34.392, 319.627, 569.861, 250.214, 388.356, 
10000, 100000, 1000000, FCFS, 0.032, 44.236, 44.239, 1068.787, 1068.791, 1213.684, 
10000, 1000000, 10, RR, 31.602, 45.785, 1381.839, 3370.723, 40.410, 45.704, 
10000, 1000000, 10, FCFS, 0.024, 44.945, 44.951, 10817.274, 10817.277, 10817.630, 
10000, 1000000, 100, RR, 0.019, 23.563, 1285.076, 3190.615, 60.914, 75.377, 
10000, 1000000, 100, FCFS, 0.018, 32.315, 32.337, 10754.178, 10754.183, 10754.659, 
10000, 1000000, 1000, RR, 0.056, 22.636, 1235.312, 3244.629, 36.520, 42.995, 
10000, 1000000, 1000, FCFS, 0.019, 52.603, 52.618, 10963.794, 10963.797, 10964.271, 
